Instrument Name,LMAX ID,LMAX symbol ,Contract Multiplier,Tick Size,Tick Value,Min Order Size,Effective Date,Expiry Date,Quoted CCY,Margin Rate (%),Position Threshold (Contracts),LMAX Trading Hours
AUD/CAD,6063,AUD/CAD,10000,0.00001,0.1,0.1,07/11/2014,,CAD,1,2530,17:05 Sun - 17:00 Fri EST / EDT (except 17:00 - 17:05 daily)
AUD/CHF,6062,AUD/CHF,10000,0.00001,0.1,0.1,07/11/2014,,CHF,2,1070,17:05 Sun - 17:00 Fri EST / EDT (except 17:00 - 17:05 daily)
AUD/JPY,6008,AUD/JPY,10000,0.001,10,0.1,07/11/2014,,JPY,1.5,2530,17:05 Sun - 17:00 Fri EST / EDT (except 17:00 - 17:05 daily)
AUD/NZD,6060,AUD/NZD,10000,0.00001,0.1,0.1,07/11/2014,,NZD,1.5,2530,17:05 Sun - 17:00 Fri EST / EDT (except 17:00 - 17:05 daily)
AUD/USD,6007,AUD/USD,10000,0.00001,0.1,0.1,07/11/2014,,USD,1,3790,17:05 Sun - 17:00 Fri EST / EDT (except 17:00 - 17:05 daily)
CAD/CHF,6065,CAD/CHF,10000,0.00001,0.1,0.1,07/11/2014,,CHF,2,1090,17:05 Sun - 17:00 Fri EST / EDT (except 17:00 - 17:05 daily)
CAD/JPY,6064,CAD/JPY,10000,0.001,10,0.1,07/11/2014,,JPY,1.5,2490,17:05 Sun - 17:00 Fri EST / EDT (except 17:00 - 17:05 daily)
CHF/JPY,6009,CHF/JPY,10000,0.001,10,0.1,07/11/2014,,JPY,2,880,17:05 Sun - 17:00 Fri EST / EDT (except 17:00 - 17:05 daily)
EUR/AUD,6016,EUR/AUD,10000,0.00001,0.1,0.1,07/11/2014,,AUD,1.5,890,17:05 Sun - 17:00 Fri EST / EDT (except 17:00 - 17:05 daily)
EUR/CAD,6015,EUR/CAD,10000,0.00001,0.1,0.1,07/11/2014,,CAD,1,890,17:05 Sun - 17:00 Fri EST / EDT (except 17:00 - 17:05 daily)
EUR/CHF,6011,EUR/CHF,10000,0.00001,0.1,0.1,07/11/2014,,CHF,2,760,17:05 Sun - 17:00 Fri EST / EDT (except 17:00 - 17:05 daily)
EUR/CZK,6018,EUR/CZK,10000,0.0001,1,0.1,07/11/2014,,CZK,10,180,17:05 Sun - 17:00 Fri EST / EDT (except 17:00 - 17:05 daily)
EUR/DKK,6021,EUR/DKK,10000,0.00001,0.1,0.1,07/11/2014,,DKK,10,890,17:05 Sun - 17:00 Fri EST / EDT (except 17:00 - 17:05 daily)
EUR/GBP,6003,EUR/GBP,10000,0.00001,0.1,0.1,07/11/2014,,GBP,1,2000,17:05 Sun - 17:00 Fri EST / EDT (except 17:00 - 17:05 daily)
