Instrument Name,LMAX ID,LMAX symbol ,Contract Multiplier,Tick Size,Tick Value,Min Order Size,Effective Date,Expiry Date,Quoted CCY,Margin Rate (%),Position Threshold (Contracts),LMAX Trading Hours
AUD/CAD,100667,AUD/CAD,10000,0.00001,0.1,0.1,14/03/2012,,CAD,1,2530,17:05 Sun - 17:00 Fri EST / EDT (except 17:00 - 17:05 daily)
AUD/CHF,100619,AUD/CHF,10000,0.00001,0.1,0.1,29/09/2011,,CHF,2,1070,17:05 Sun - 17:00 Fri EST / EDT (except 17:00 - 17:05 daily)
AUD/JPY,4008,AUD/JPY,10000,0.001,10,0.1,09/07/2010,,JPY,1.5,2530,17:05 Sun - 17:00 Fri EST / EDT (except 17:00 - 17:05 daily)
AUD/NZD,100615,AUD/NZD,10000,0.00001,0.1,0.1,29/09/2011,,NZD,1.5,2530,17:05 Sun - 17:00 Fri EST / EDT (except 17:00 - 17:05 daily)
AUD/USD,4007,AUD/USD,10000,0.00001,0.1,0.1,09/07/2010,,USD,1,3790,17:05 Sun - 17:00 Fri EST / EDT (except 17:00 - 17:05 daily)
Australia 200,100888,AUS200,1,0.1,0.1,1,11/11/2013,,AUD,2,350,18:00 Sun - 17:00 Fri EST / EDT (except 17:00 - 18:00 daily)
CAD/CHF,100671,CAD/CHF,10000,0.00001,0.1,0.1,14/03/2012,,CHF,2,1090,17:05 Sun - 17:00 Fri EST / EDT (except 17:00 - 17:05 daily)
CAD/JPY,100669,CAD/JPY,10000,0.001,10,0.1,14/03/2012,,JPY,1.5,2490,17:05 Sun - 17:00 Fri EST / EDT (except 17:00 - 17:05 daily)
CHF/JPY,4009,CHF/JPY,10000,0.001,10,0.1,09/07/2010,,JPY,2,880,17:05 Sun - 17:00 Fri EST / EDT (except 17:00 - 17:05 daily)
EUR/AUD,4016,EUR/AUD,10000,0.00001,0.1,0.1,09/07/2010,,AUD,1.5,890,17:05 Sun - 17:00 Fri EST / EDT (except 17:00 - 17:05 daily)
EUR/CAD,4015,EUR/CAD,10000,0.00001,0.1,0.1,09/07/2010,,CAD,1,890,17:05 Sun - 17:00 Fri EST / EDT (except 17:00 - 17:05 daily)
EUR/CHF,4011,EUR/CHF,10000,0.00001,0.1,0.1,09/07/2010,,CHF,2,760,17:05 Sun - 17:00 Fri EST / EDT (except 17:00 - 17:05 daily)
EUR/CNH,100893,EUR/CNH,10000,0.00001,0.1,0.1,10/03/2020,,CNH,10,200,17:05 Sun - 17:00 Fri EST / EDT (except 17:00 - 17:05 daily)
EUR/CZK,100479,EUR/CZK,10000,0.0001,1,0.1,05/07/2011,,CZK,10,180,17:05 Sun - 17:00 Fri EST / EDT (except 17:00 - 17:05 daily)
EUR/DKK,100485,EUR/DKK,10000,0.00001,0.1,0.1,05/07/2011,,DKK,10,890,17:05 Sun - 17:00 Fri EST / EDT (except 17:00 - 17:05 daily)
EUR/GBP,4003,EUR/GBP,10000,0.00001,0.1,0.1,09/07/2010,,GBP,1,2000,17:05 Sun - 17:00 Fri EST / EDT (except 17:00 - 17:05 daily)
EUR/HKD,100491,EUR/HKD,10000,0.00001,0.1,0.1,05/07/2011,,HKD,10,180,17:05 Sun - 17:00 Fri EST / EDT (except 17:00 - 17:05 daily)
EUR/HUF,100497,EUR/HUF,10000,0.001,10,0.1,05/07/2011,,HUF,3,180,17:05 Sun - 17:00 Fri EST / EDT (except 17:00 - 17:05 daily)
EUR/JPY,4006,EUR/JPY,10000,0.001,10,0.1,09/07/2010,,JPY,1,2000,17:05 Sun - 17:00 Fri EST / EDT (except 17:00 - 17:05 daily)
EUR/MXN,100503,EUR/MXN,10000,0.00001,0.1,0.1,05/07/2011,,MXN,3,180,17:05 Sun - 17:00 Fri EST / EDT (except 17:00 - 17:05 daily)
EUR/NOK,100509,EUR/NOK,10000,0.00001,0.1,0.1,05/07/2011,,NOK,1.5,450,17:05 Sun - 17:00 Fri EST / EDT (except 17:00 - 17:05 daily)
EUR/NZD,100515,EUR/NZD,10000,0.00001,0.1,0.1,05/07/2011,,NZD,2,1350,17:05 Sun - 17:00 Fri EST / EDT (except 17:00 - 17:05 daily)
