16:36:50,803 | ERROR | 26015101 | SUBSCRIBE FAILED [Error: EURPLN not exist, StackTrace:    at TradingAPI.MT4Server.QuoteClient.Subscribe(String symbol) in C:\Users\ivasc\RiderProjects\MT4Arbitrage\mt4-terminal-api\QuoteClient.cs:line 507
   at QuoteObserver.QuoteClientConnector.Subscribe(Instrument instrument) in C:\Users\ivasc\RiderProjects\MT4Arbitrage\QuoteObserver\QuoteClientConnector.cs:line 63]
16:36:50,804 | ERROR | 26015101 | SUBSCRIBE FAILED [Error: EURRUB not exist, StackTrace:    at TradingAPI.MT4Server.QuoteClient.Subscribe(String symbol) in C:\Users\ivasc\RiderProjects\MT4Arbitrage\mt4-terminal-api\QuoteClient.cs:line 507
   at QuoteObserver.QuoteClientConnector.Subscribe(Instrument instrument) in C:\Users\ivasc\RiderProjects\MT4Arbitrage\QuoteObserver\QuoteClientConnector.cs:line 63]
16:37:28,554 | ERROR | 26015101 | SUBSCRIBE FAILED [Error: EURPLN not exist, StackTrace:    at TradingAPI.MT4Server.QuoteClient.Subscribe(String symbol) in C:\Users\ivasc\RiderProjects\MT4Arbitrage\mt4-terminal-api\QuoteClient.cs:line 507
   at QuoteObserver.QuoteClientConnector.Subscribe(Instrument instrument) in C:\Users\ivasc\RiderProjects\MT4Arbitrage\QuoteObserver\QuoteClientConnector.cs:line 63]
16:37:28,555 | ERROR | 26015101 | SUBSCRIBE FAILED [Error: EURRUB not exist, StackTrace:    at TradingAPI.MT4Server.QuoteClient.Subscribe(String symbol) in C:\Users\ivasc\RiderProjects\MT4Arbitrage\mt4-terminal-api\QuoteClient.cs:line 507
   at QuoteObserver.QuoteClientConnector.Subscribe(Instrument instrument) in C:\Users\ivasc\RiderProjects\MT4Arbitrage\QuoteObserver\QuoteClientConnector.cs:line 63]
16:53:39,592 | ERROR | FixApplication | FromApp field not found for tag: 52
16:53:39,594 | ERROR | FixApplication | FromApp field not found for tag: 52
16:53:39,596 | ERROR | FixApplication | FromApp field not found for tag: 52
16:53:39,667 | ERROR | FixApplication | FromApp field not found for tag: 52
16:53:41,768 | ERROR | FixApplication | FromApp field not found for tag: 52
16:53:42,769 | ERROR | FixApplication | FromApp field not found for tag: 52
16:53:43,872 | ERROR | FixApplication | FromApp field not found for tag: 52
16:53:43,873 | ERROR | FixApplication | FromApp field not found for tag: 52
16:53:44,972 | ERROR | FixApplication | FromApp field not found for tag: 52
16:53:44,973 | ERROR | FixApplication | FromApp field not found for tag: 52
16:53:45,970 | ERROR | FixApplication | FromApp field not found for tag: 52
16:53:46,072 | ERROR | FixApplication | FromApp field not found for tag: 52
16:53:46,171 | ERROR | FixApplication | FromApp field not found for tag: 52
16:53:47,072 | ERROR | FixApplication | FromApp field not found for tag: 52
16:53:47,073 | ERROR | FixApplication | FromApp field not found for tag: 52
16:53:47,075 | ERROR | FixApplication | FromApp field not found for tag: 52
16:53:48,072 | ERROR | FixApplication | FromApp field not found for tag: 52
16:53:48,172 | ERROR | FixApplication | FromApp field not found for tag: 52
16:53:48,174 | ERROR | FixApplication | FromApp field not found for tag: 52
16:53:49,172 | ERROR | FixApplication | FromApp field not found for tag: 52
16:53:49,173 | ERROR | FixApplication | FromApp field not found for tag: 52
16:53:49,175 | ERROR | FixApplication | FromApp field not found for tag: 52
16:53:50,273 | ERROR | FixApplication | FromApp field not found for tag: 52
16:53:50,276 | ERROR | FixApplication | FromApp field not found for tag: 52
16:53:51,274 | ERROR | FixApplication | FromApp field not found for tag: 52
16:53:51,276 | ERROR | FixApplication | FromApp field not found for tag: 52
16:53:51,278 | ERROR | FixApplication | FromApp field not found for tag: 52
16:53:52,374 | ERROR | FixApplication | FromApp field not found for tag: 52
16:53:52,376 | ERROR | FixApplication | FromApp field not found for tag: 52
16:53:53,375 | ERROR | FixApplication | FromApp field not found for tag: 52
16:53:53,376 | ERROR | FixApplication | FromApp field not found for tag: 52
16:53:54,493 | ERROR | FixApplication | FromApp field not found for tag: 52
16:53:55,498 | ERROR | FixApplication | FromApp field not found for tag: 52
16:53:55,585 | ERROR | FixApplication | FromApp field not found for tag: 52
16:53:55,587 | ERROR | FixApplication | FromApp field not found for tag: 52
16:53:56,603 | ERROR | FixApplication | FromApp field not found for tag: 52
16:55:41,381 | ERROR | FixApplication | FromApp field not found for tag: 52
16:55:41,382 | ERROR | FixApplication | FromApp field not found for tag: 52
16:55:41,384 | ERROR | FixApplication | FromApp field not found for tag: 52
16:55:42,258 | ERROR | FixApplication | FromApp field not found for tag: 52
16:55:42,357 | ERROR | FixApplication | FromApp field not found for tag: 52
16:55:43,357 | ERROR | FixApplication | FromApp field not found for tag: 52
16:55:44,458 | ERROR | FixApplication | FromApp field not found for tag: 52
16:55:45,459 | ERROR | FixApplication | FromApp field not found for tag: 52
16:55:45,461 | ERROR | FixApplication | FromApp field not found for tag: 52
16:55:45,463 | ERROR | FixApplication | FromApp field not found for tag: 52
16:55:46,561 | ERROR | FixApplication | FromApp field not found for tag: 52
16:55:46,562 | ERROR | FixApplication | FromApp field not found for tag: 52
16:55:47,561 | ERROR | FixApplication | FromApp field not found for tag: 52
16:55:47,660 | ERROR | FixApplication | FromApp field not found for tag: 52
16:55:48,665 | ERROR | FixApplication | FromApp field not found for tag: 52
16:55:48,669 | ERROR | FixApplication | FromApp field not found for tag: 52
16:55:48,671 | ERROR | FixApplication | FromApp field not found for tag: 52
16:55:49,660 | ERROR | FixApplication | FromApp field not found for tag: 52
16:55:49,762 | ERROR | FixApplication | FromApp field not found for tag: 52
16:55:49,764 | ERROR | FixApplication | FromApp field not found for tag: 52
16:55:50,762 | ERROR | FixApplication | FromApp field not found for tag: 52
16:55:50,765 | ERROR | FixApplication | FromApp field not found for tag: 52
16:55:50,767 | ERROR | FixApplication | FromApp field not found for tag: 52
16:57:28,674 | ERROR | FixApplication | FromApp field not found for tag: 273
16:57:28,676 | ERROR | FixApplication | FromApp field not found for tag: 273
16:57:28,678 | ERROR | FixApplication | FromApp field not found for tag: 273
16:57:29,153 | ERROR | FixApplication | FromApp field not found for tag: 273
16:57:29,154 | ERROR | FixApplication | FromApp field not found for tag: 273
16:57:30,252 | ERROR | FixApplication | FromApp field not found for tag: 273
16:57:30,254 | ERROR | FixApplication | FromApp field not found for tag: 273
16:57:31,253 | ERROR | FixApplication | FromApp field not found for tag: 273
16:57:31,354 | ERROR | FixApplication | FromApp field not found for tag: 273
16:57:32,354 | ERROR | FixApplication | FromApp field not found for tag: 273
16:57:33,455 | ERROR | FixApplication | FromApp field not found for tag: 273
16:57:33,457 | ERROR | FixApplication | FromApp field not found for tag: 273
16:57:34,454 | ERROR | FixApplication | FromApp field not found for tag: 273
16:57:34,458 | ERROR | FixApplication | FromApp field not found for tag: 273
16:57:35,556 | ERROR | FixApplication | FromApp field not found for tag: 273
16:57:35,558 | ERROR | FixApplication | FromApp field not found for tag: 273
16:57:35,560 | ERROR | FixApplication | FromApp field not found for tag: 273
16:57:36,556 | ERROR | FixApplication | FromApp field not found for tag: 273
16:57:36,558 | ERROR | FixApplication | FromApp field not found for tag: 273
16:57:36,655 | ERROR | FixApplication | FromApp field not found for tag: 273
16:57:37,657 | ERROR | FixApplication | FromApp field not found for tag: 273
16:57:37,658 | ERROR | FixApplication | FromApp field not found for tag: 273
16:57:37,660 | ERROR | FixApplication | FromApp field not found for tag: 273
16:57:38,658 | ERROR | FixApplication | FromApp field not found for tag: 273
16:57:38,757 | ERROR | FixApplication | FromApp field not found for tag: 273
16:57:38,759 | ERROR | FixApplication | FromApp field not found for tag: 273
16:57:39,758 | ERROR | FixApplication | FromApp field not found for tag: 273
16:57:40,859 | ERROR | FixApplication | FromApp field not found for tag: 273
16:57:40,861 | ERROR | FixApplication | FromApp field not found for tag: 273
16:57:41,860 | ERROR | FixApplication | FromApp field not found for tag: 273
16:57:41,862 | ERROR | FixApplication | FromApp field not found for tag: 273
16:57:42,959 | ERROR | FixApplication | FromApp field not found for tag: 273
16:57:42,961 | ERROR | FixApplication | FromApp field not found for tag: 273
16:57:42,962 | ERROR | FixApplication | FromApp field not found for tag: 273
16:57:43,960 | ERROR | FixApplication | FromApp field not found for tag: 273
16:57:43,962 | ERROR | FixApplication | FromApp field not found for tag: 273
16:57:44,060 | ERROR | FixApplication | FromApp field not found for tag: 273
16:57:44,563 | ERROR | FixApplication | FromApp field not found for tag: 273
16:57:45,064 | ERROR | FixApplication | FromApp field not found for tag: 273
16:57:45,067 | ERROR | FixApplication | FromApp field not found for tag: 273
16:57:45,068 | ERROR | FixApplication | FromApp field not found for tag: 273
16:57:46,066 | ERROR | FixApplication | FromApp field not found for tag: 273
16:57:46,162 | ERROR | FixApplication | FromApp field not found for tag: 273
16:57:46,166 | ERROR | FixApplication | FromApp field not found for tag: 273
16:57:47,162 | ERROR | FixApplication | FromApp field not found for tag: 273
16:57:47,164 | ERROR | FixApplication | FromApp field not found for tag: 273
17:00:13,766 | ERROR | FixApplication | FromApp field not found for tag: 52
17:00:13,768 | ERROR | FixApplication | FromApp field not found for tag: 52
17:00:13,770 | ERROR | FixApplication | FromApp field not found for tag: 52
17:00:14,243 | ERROR | FixApplication | FromApp field not found for tag: 52
17:00:15,344 | ERROR | FixApplication | FromApp field not found for tag: 52
17:00:16,346 | ERROR | FixApplication | FromApp field not found for tag: 52
17:00:16,348 | ERROR | FixApplication | FromApp field not found for tag: 52
17:00:16,349 | ERROR | FixApplication | FromApp field not found for tag: 52
17:00:17,345 | ERROR | FixApplication | FromApp field not found for tag: 52
17:02:11,956 | ERROR | FixApplication | FromApp field not found for tag: 273
17:02:11,959 | ERROR | FixApplication | FromApp field not found for tag: 273
17:02:11,961 | ERROR | FixApplication | FromApp field not found for tag: 273
17:02:12,634 | ERROR | FixApplication | FromApp field not found for tag: 273
17:02:12,637 | ERROR | FixApplication | FromApp field not found for tag: 273
17:02:13,234 | ERROR | FixApplication | FromApp field not found for tag: 273
17:02:13,737 | ERROR | FixApplication | FromApp field not found for tag: 273
17:02:13,739 | ERROR | FixApplication | FromApp field not found for tag: 273
17:02:13,741 | ERROR | FixApplication | FromApp field not found for tag: 273
17:02:14,735 | ERROR | FixApplication | FromApp field not found for tag: 273
17:02:14,835 | ERROR | FixApplication | FromApp field not found for tag: 273
17:02:15,836 | ERROR | FixApplication | FromApp field not found for tag: 273
17:02:15,838 | ERROR | FixApplication | FromApp field not found for tag: 273
17:02:16,937 | ERROR | FixApplication | FromApp field not found for tag: 273
17:02:16,944 | ERROR | FixApplication | FromApp field not found for tag: 273
17:02:16,946 | ERROR | FixApplication | FromApp field not found for tag: 273
17:02:17,942 | ERROR | FixApplication | FromApp field not found for tag: 273
17:02:17,944 | ERROR | FixApplication | FromApp field not found for tag: 273
17:02:17,946 | ERROR | FixApplication | FromApp field not found for tag: 273
17:02:19,039 | ERROR | FixApplication | FromApp field not found for tag: 273
17:02:19,041 | ERROR | FixApplication | FromApp field not found for tag: 273
17:02:19,044 | ERROR | FixApplication | FromApp field not found for tag: 273
17:02:20,037 | ERROR | FixApplication | FromApp field not found for tag: 273
17:02:20,040 | ERROR | FixApplication | FromApp field not found for tag: 273
17:02:20,139 | ERROR | FixApplication | FromApp field not found for tag: 273
17:02:20,141 | ERROR | FixApplication | FromApp field not found for tag: 273
17:02:21,138 | ERROR | FixApplication | FromApp field not found for tag: 273
17:02:21,141 | ERROR | FixApplication | FromApp field not found for tag: 273
17:02:22,139 | ERROR | FixApplication | FromApp field not found for tag: 273
17:02:22,241 | ERROR | FixApplication | FromApp field not found for tag: 273
17:02:22,243 | ERROR | FixApplication | FromApp field not found for tag: 273
17:02:23,240 | ERROR | FixApplication | FromApp field not found for tag: 273
17:02:23,242 | ERROR | FixApplication | FromApp field not found for tag: 273
17:02:23,244 | ERROR | FixApplication | FromApp field not found for tag: 273
17:02:24,340 | ERROR | FixApplication | FromApp field not found for tag: 273
17:02:24,342 | ERROR | FixApplication | FromApp field not found for tag: 273
17:02:24,345 | ERROR | FixApplication | FromApp field not found for tag: 273
17:02:25,345 | ERROR | FixApplication | FromApp field not found for tag: 273
17:02:25,347 | ERROR | FixApplication | FromApp field not found for tag: 273
17:02:25,442 | ERROR | FixApplication | FromApp field not found for tag: 273
17:02:26,442 | ERROR | FixApplication | FromApp field not found for tag: 273
17:02:26,444 | ERROR | FixApplication | FromApp field not found for tag: 273
17:02:26,447 | ERROR | FixApplication | FromApp field not found for tag: 273
17:02:27,443 | ERROR | FixApplication | FromApp field not found for tag: 273
17:02:27,447 | ERROR | FixApplication | FromApp field not found for tag: 273
17:02:27,542 | ERROR | FixApplication | FromApp field not found for tag: 273
17:02:28,546 | ERROR | FixApplication | FromApp field not found for tag: 273
17:02:28,548 | ERROR | FixApplication | FromApp field not found for tag: 273
17:02:29,568 | ERROR | FixApplication | FromApp field not found for tag: 273
17:02:29,646 | ERROR | FixApplication | FromApp field not found for tag: 273
17:02:29,648 | ERROR | FixApplication | FromApp field not found for tag: 273
