19:42:12,170 | EURUSD | Vladyslav Amidamarru | LMAX | 1.05535 | 1.05541 | 0 | -5.9999999999949E-05
19:42:12,172 | EURUSD | LMAX | Vladyslav Amidamarru | 1.05537 | 1.05542 | 0 | -5.00000000001055E-05
19:42:12,249 | EURUSD | Vladyslav Amidamarru | LMAX | 1.05537 | 1.05541 | 0 | -4.000000000004E-05
19:42:12,250 | EURUSD | LMAX | Vladyslav Amidamarru | 1.05537 | 1.05538 | 0 | -1.00000000000655E-05
19:42:12,306 | EURUSD | Vadim | LMAX | 1.05534 | 1.05541 | 0 | -7.00000000000145E-05
19:42:12,307 | EURUSD | LMAX | Vadim | 1.05537 | 1.05543 | 0 | -6.0000000000171E-05
19:42:12,420 | EURUSD | Vladyslav Amidamarru | LMAX | 1.05537 | 1.05541 | 0 | -4.000000000004E-05
19:42:12,420 | EURUSD | LMAX | Vladyslav Amidamarru | 1.05537 | 1.05539 | 0 | -2.0000000000131E-05
19:42:12,436 | EURUSD | Vladyslav Amidamarru | LMAX | 1.05534 | 1.05541 | 0 | -7.00000000000145E-05
19:42:12,436 | EURUSD | LMAX | Vladyslav Amidamarru | 1.05537 | 1.05543 | 0 | -6.0000000000171E-05
19:42:12,493 | EURUSD | Vadim | LMAX | 1.05534 | 1.05541 | 0 | -7.00000000000145E-05
19:42:12,494 | EURUSD | LMAX | Vadim | 1.05537 | 1.05542 | 0 | -5.00000000001055E-05
19:42:12,559 | EURUSD | Vladyslav Amidamarru | LMAX | 1.05537 | 1.05541 | 0 | -4.000000000004E-05
19:42:12,559 | EURUSD | LMAX | Vladyslav Amidamarru | 1.05537 | 1.05538 | 0 | -1.00000000000655E-05
19:42:13,590 | EURUSD | Vladyslav Amidamarru | LMAX | 1.05534 | 1.05541 | 0 | -7.00000000000145E-05
19:42:13,591 | EURUSD | LMAX | Vladyslav Amidamarru | 1.05537 | 1.05542 | 0 | -5.00000000001055E-05
19:42:13,655 | EURUSD | Vladyslav Amidamarru | LMAX | 1.05535 | 1.05541 | 0 | -5.9999999999949E-05
19:42:13,656 | EURUSD | LMAX | Vladyslav Amidamarru | 1.05537 | 1.05536 | 0 | 9.99999999984347E-06
19:42:13,729 | EURUSD | Vladyslav Amidamarru | LMAX | 1.0553 | 1.05541 | 0 | -0.000110000000000054
19:42:13,729 | EURUSD | LMAX | Vladyslav Amidamarru | 1.05537 | 1.05538 | 0 | -1.00000000000655E-05
19:42:13,806 | EURUSD | Vadim | LMAX | 1.05532 | 1.05541 | 0 | -8.99999999999235E-05
19:42:13,806 | EURUSD | LMAX | Vadim | 1.05537 | 1.05541 | 0 | -4.000000000004E-05
19:42:13,809 | EURUSD | Vladyslav Amidamarru | LMAX | 1.05534 | 1.05541 | 0 | -7.00000000000145E-05
19:42:13,810 | EURUSD | LMAX | Vladyslav Amidamarru | 1.05537 | 1.05535 | 0 | 1.9999999999909E-05
19:42:13,868 | EURUSD | Vadim | LMAX | 1.05532 | 1.05541 | 0 | -8.99999999999235E-05
19:42:13,868 | EURUSD | LMAX | Vadim | 1.05537 | 1.05539 | 0 | -2.0000000000131E-05
19:42:14,004 | EURUSD | Vladyslav Amidamarru | LMAX | 1.05533 | 1.05541 | 0 | -7.9999999999858E-05
19:42:14,005 | EURUSD | LMAX | Vladyslav Amidamarru | 1.05537 | 1.05534 | 0 | 2.99999999999745E-05
19:42:14,005 | EURUSD | Vadim | LMAX | 1.05531 | 1.05541 | 0 | -9.9999999999989E-05
19:42:14,006 | EURUSD | LMAX | Vadim | 1.05537 | 1.05539 | 0 | -2.0000000000131E-05
19:42:14,058 | EURUSD | Vadim | LMAX | 1.0553 | 1.05541 | 0 | -0.000110000000000054
19:42:14,059 | EURUSD | LMAX | Vadim | 1.05537 | 1.05539 | 0 | -2.0000000000131E-05
19:42:14,149 | EURUSD | Vadim | LMAX | 1.0553 | 1.05541 | 0 | -0.000110000000000054
19:42:14,150 | EURUSD | LMAX | Vadim | 1.05537 | 1.05538 | 0 | -1.00000000000655E-05
19:42:15,843 | EURUSD | Vladyslav Amidamarru | LMAX | 1.05529 | 1.05541 | 0 | -0.000119999999999898
19:42:15,844 | EURUSD | LMAX | Vladyslav Amidamarru | 1.05537 | 1.05538 | 0 | -1.00000000000655E-05
19:42:16,030 | EURUSD | Vladyslav Amidamarru | LMAX | 1.0553 | 1.05541 | 0 | -0.000110000000000054
19:42:16,031 | EURUSD | LMAX | Vladyslav Amidamarru | 1.05537 | 1.05538 | 0 | -1.00000000000655E-05
19:42:16,171 | EURUSD | Vladyslav Amidamarru | LMAX | 1.05533 | 1.05541 | 0 | -7.9999999999858E-05
19:42:16,171 | EURUSD | LMAX | Vladyslav Amidamarru | 1.05537 | 1.05534 | 0 | 2.99999999999745E-05
19:42:20,420 | EURUSD | Vladyslav Amidamarru | LMAX | 1.05531 | 1.05541 | 0 | -9.9999999999989E-05
19:42:20,421 | EURUSD | LMAX | Vladyslav Amidamarru | 1.05537 | 1.05539 | 0 | -2.0000000000131E-05
19:42:20,547 | EURUSD | Vladyslav Amidamarru | LMAX | 1.05535 | 1.05541 | 0 | -5.9999999999949E-05
19:42:20,548 | EURUSD | LMAX | Vladyslav Amidamarru | 1.05537 | 1.05536 | 0 | 9.99999999984347E-06
19:42:20,703 | EURUSD | Vladyslav Amidamarru | LMAX | 1.05536 | 1.05541 | 0 | -4.99999999998835E-05
19:42:20,776 | EURUSD | Vadim | LMAX | 1.05531 | 1.05541 | 0 | -9.9999999999989E-05
19:42:20,777 | EURUSD | LMAX | Vadim | 1.05537 | 1.05539 | 0 | -2.0000000000131E-05
19:42:20,857 | EURUSD | Vladyslav Amidamarru | LMAX | 1.05537 | 1.05541 | 0 | -4.000000000004E-05
19:42:20,858 | EURUSD | LMAX | Vladyslav Amidamarru | 1.05537 | 1.05538 | 0 | -1.00000000000655E-05
19:42:20,870 | EURUSD | Vadim | LMAX | 1.05532 | 1.05541 | 0 | -8.99999999999235E-05
19:42:20,871 | EURUSD | LMAX | Vadim | 1.05537 | 1.05539 | 0 | -2.0000000000131E-05
19:42:20,903 | EURUSD | Vadim | LMAX | 1.05532 | 1.05541 | 0 | -8.99999999999235E-05
19:42:20,904 | EURUSD | LMAX | Vadim | 1.05537 | 1.05541 | 0 | -4.000000000004E-05
19:42:21,214 | EURUSD | Vadim | LMAX | 1.05533 | 1.05541 | 0 | -7.9999999999858E-05
19:42:21,215 | EURUSD | LMAX | Vadim | 1.05537 | 1.05541 | 0 | -4.000000000004E-05
19:42:22,373 | EURUSD | Vladyslav Amidamarru | LMAX | 1.05534 | 1.05541 | 0 | -7.00000000000145E-05
19:42:22,381 | EURUSD | LMAX | Vladyslav Amidamarru | 1.05537 | 1.05541 | 0 | -4.000000000004E-05
19:42:22,890 | EURUSD | Vladyslav Amidamarru | LMAX | 1.05533 | 1.05541 | 0 | -7.9999999999858E-05
19:42:22,891 | EURUSD | LMAX | Vladyslav Amidamarru | 1.05537 | 1.05541 | 0 | -4.000000000004E-05
19:42:22,935 | EURUSD | Vadim | LMAX | 1.05532 | 1.05541 | 0 | -8.99999999999235E-05
19:42:22,935 | EURUSD | LMAX | Vadim | 1.05537 | 1.05541 | 0 | -4.000000000004E-05
19:42:23,030 | EURUSD | Vladyslav Amidamarru | LMAX | 1.05537 | 1.05541 | 0 | -4.000000000004E-05
19:42:23,030 | EURUSD | LMAX | Vladyslav Amidamarru | 1.05537 | 1.05538 | 0 | -1.00000000000655E-05
19:42:23,201 | EURUSD | Vladyslav Amidamarru | LMAX | 1.05534 | 1.05541 | 0 | -7.00000000000145E-05
19:42:23,201 | EURUSD | LMAX | Vladyslav Amidamarru | 1.05537 | 1.05542 | 0 | -5.00000000001055E-05
19:42:23,344 | EURUSD | Vladyslav Amidamarru | LMAX | 1.05537 | 1.05541 | 0 | -4.000000000004E-05
19:42:23,344 | EURUSD | LMAX | Vladyslav Amidamarru | 1.05537 | 1.05538 | 0 | -1.00000000000655E-05
19:42:24,094 | EURUSD | Vladyslav Amidamarru | LMAX | 1.05533 | 1.05541 | 0 | -7.9999999999858E-05
19:42:24,094 | EURUSD | LMAX | Vladyslav Amidamarru | 1.05537 | 1.05542 | 0 | -5.00000000001055E-05
19:42:24,125 | EURUSD | Vladyslav Amidamarru | LMAX | 1.05536 | 1.05541 | 0 | -4.99999999998835E-05
19:42:24,126 | EURUSD | LMAX | Vladyslav Amidamarru | 1.05537 | 1.05538 | 0 | -1.00000000000655E-05
19:42:25,326 | EURUSD | Vladyslav Amidamarru | LMAX | 1.05534 | 1.05541 | 0 | -7.00000000000145E-05
19:42:25,327 | EURUSD | LMAX | Vladyslav Amidamarru | 1.05537 | 1.05542 | 0 | -5.00000000001055E-05
19:42:25,374 | EURUSD | Vladyslav Amidamarru | LMAX | 1.05537 | 1.05541 | 0 | -4.000000000004E-05
19:42:25,375 | EURUSD | LMAX | Vladyslav Amidamarru | 1.05537 | 1.05538 | 0 | -1.00000000000655E-05
19:47:03,570 | EURUSD | Vladyslav Amidamarru | LMAX | 1.0553 | 1.05531 | 0 | -1.00000000000655E-05
19:47:03,571 | EURUSD | LMAX | Vladyslav Amidamarru | 1.05527 | 1.05531 | 0 | -4.000000000004E-05
19:47:04,928 | EURUSD | Vladyslav Amidamarru | LMAX | 1.05527 | 1.05531 | 0 | -4.000000000004E-05
19:47:04,929 | EURUSD | LMAX | Vladyslav Amidamarru | 1.05527 | 1.05534 | 0 | -7.00000000000145E-05
19:47:05,273 | EURUSD | Vladyslav Amidamarru | LMAX | 1.05533 | 1.05531 | 0 | 2.0000000000131E-05
19:47:05,274 | EURUSD | LMAX | Vladyslav Amidamarru | 1.05527 | 1.0554 | 0 | -0.000129999999999963
19:47:05,286 | EURUSD | Vadim | LMAX | 1.05526 | 1.05531 | 0 | -4.99999999998835E-05
