16:38:38,393 | Pair:GBPUSD | Spread:0 | Fast LMAX (Bid:1.25819 | Ask: 1.25831)| Slow 166666 (Bid:1.25807 | Ask: 1.25818) | Delta: 0.0000100
16:38:38,423 | Pair:EURUSD | Spread:0 | Fast LMAX (Bid:1.07134 | Ask: 1.07143)| Slow 166666 (Bid:1.07129 | Ask: 1.07132) | Delta: 0.0000200
16:38:38,431 | Pair:EURUSD | Spread:0 | Fast LMAX (Bid:1.07134 | Ask: 1.07143)| Slow 166666 (Bid:1.07139 | Ask: 1.07143) | Delta: -0.0000900
16:38:38,432 | Pair:GBPUSD | Spread:0 | Fast LMAX (Bid:1.25819 | Ask: 1.25831)| Slow 166666 (Bid:1.25824 | Ask: 1.25835) | Delta: -0.0001600
16:38:47,238 | Pair:USDJPY | Spread:0 | Fast LMAX (Bid:127.147 | Ask: 127.155)| Slow 166666 (Bid:127.156 | Ask: 127.16) | Delta: -0.0130000
16:38:47,367 | Pair:EURUSD | Spread:0 | Fast LMAX (Bid:1.07133 | Ask: 1.0714)| Slow 166666 (Bid:1.07141 | Ask: 1.07145) | Delta: -0.0001200
16:38:47,551 | Pair:USDJPY | Spread:0 | Fast LMAX (Bid:127.146 | Ask: 127.156)| Slow 166666 (Bid:127.156 | Ask: 127.16) | Delta: -0.0140000
16:38:47,934 | Pair:EURUSD | Spread:0 | Fast LMAX (Bid:1.07133 | Ask: 1.0714)| Slow 166666 (Bid:1.07134 | Ask: 1.07138) | Delta: -0.0000500
16:39:50,880 | Pair:EURUSD | Spread:0 | Fast LMAX (Bid:1.07165 | Ask: 1.07173)| Slow 166666 (Bid:1.07158 | Ask: 1.07161) | Delta: 0.0000400
16:39:51,369 | Pair:EURUSD | Spread:0 | Fast LMAX (Bid:1.07166 | Ask: 1.07175)| Slow 166666 (Bid:1.07171 | Ask: 1.07174) | Delta: -0.0000800
16:41:23,418 | Pair:USDJPY | Spread:0 | Fast LMAX (Bid:127.143 | Ask: 127.154)| Slow 166666 (Bid:127.141 | Ask: 127.142) | Delta: 0.0010000
16:41:23,522 | Pair:USDJPY | Spread:0 | Fast LMAX (Bid:127.142 | Ask: 127.153)| Slow 166666 (Bid:127.141 | Ask: 127.142) | Delta: 0.0000000
16:41:24,117 | Pair:USDJPY | Spread:0 | Fast LMAX (Bid:127.131 | Ask: 127.14)| Slow 166666 (Bid:127.141 | Ask: 127.142) | Delta: -0.0110000
16:41:24,335 | Pair:USDJPY | Spread:0 | Fast LMAX (Bid:127.131 | Ask: 127.141)| Slow 166666 (Bid:127.141 | Ask: 127.142) | Delta: -0.0110000
16:41:55,651 | Pair:EURUSD | Spread:0 | Fast 26015101 (Bid:1.07137 | Ask: 1.07148)| Slow 166666 (Bid:1.07151 | Ask: 1.07158) | Delta: -0.0002100
16:41:55,791 | Pair:EURUSD | Spread:0 | Fast 26015101 (Bid:1.07141 | Ask: 1.07152)| Slow 166666 (Bid:1.07151 | Ask: 1.07158) | Delta: -0.0001700
16:41:55,849 | Pair:EURUSD | Spread:0 | Fast LMAX (Bid:1.07144 | Ask: 1.07152)| Slow 166666 (Bid:1.07139 | Ask: 1.07143) | Delta: 0.0000100
16:41:56,233 | Pair:EURUSD | Spread:0 | Fast LMAX (Bid:1.07144 | Ask: 1.07153)| Slow 166666 (Bid:1.07148 | Ask: 1.07151) | Delta: -0.0000700
16:42:41,295 | Pair:USDJPY | Spread:0 | Fast LMAX (Bid:127.125 | Ask: 127.134)| Slow 166666 (Bid:127.135 | Ask: 127.14) | Delta: -0.0150000
16:42:41,298 | Pair:USDJPY | Spread:0 | Fast LMAX (Bid:127.124 | Ask: 127.134)| Slow 166666 (Bid:127.122 | Ask: 127.127) | Delta: -0.0030000
16:42:41,313 | Pair:USDJPY | Spread:0 | Fast 26015101 (Bid:127.124 | Ask: 127.134)| Slow 166666 (Bid:127.122 | Ask: 127.123) | Delta: 0.0010000
16:42:41,314 | Pair:USDJPY | Spread:0 | Fast 26015101 (Bid:127.12 | Ask: 127.132)| Slow 166666 (Bid:127.122 | Ask: 127.123) | Delta: -0.0030000
16:42:44,543 | Pair:EURUSD | Spread:0 | Fast LMAX (Bid:1.07168 | Ask: 1.07176)| Slow 166666 (Bid:1.07164 | Ask: 1.07167) | Delta: 0.0000100
16:42:45,221 | Pair:EURUSD | Spread:0 | Fast LMAX (Bid:1.07171 | Ask: 1.07179)| Slow 166666 (Bid:1.07172 | Ask: 1.07176) | Delta: -0.0000500
