15:34:02,752 | Pair:USDJPY | Spread:0.001 | Fast LMAX (Bid:127.006 | Ask: 127.007)| Slow 26015101 (Bid:126.994 | Ask: 127) | Delta: 0.0060000
15:34:03,016 | Pair:USDJPY | Spread:0.001 | Fast LMAX (Bid:127 | Ask: 127.01)| Slow 26015101 (Bid:126.994 | Ask: 127) | Delta: 0.0000000
15:34:03,063 | Pair:USDJPY | Spread:0.001 | Fast LMAX (Bid:127.005 | Ask: 127.006)| Slow 26015101 (Bid:126.994 | Ask: 127) | Delta: 0.0050000
15:34:03,064 | Pair:USDJPY | Spread:0.001 | Fast LMAX (Bid:127.005 | Ask: 127.006)| Slow 26015101 (Bid:127.001 | Ask: 127.008) | Delta: -0.0030000
15:34:04,784 | Pair:USDJPY | Spread:0.001 | Fast LMAX (Bid:127.013 | Ask: 127.015)| Slow 26015101 (Bid:127.004 | Ask: 127.011) | Delta: 0.0020000
15:34:04,844 | Pair:USDJPY | Spread:0.001 | Fast LMAX (Bid:127.009 | Ask: 127.02)| Slow 26015101 (Bid:127.004 | Ask: 127.011) | Delta: -0.0020000
15:34:04,943 | Pair:USDJPY | Spread:0.001 | Fast LMAX (Bid:127.014 | Ask: 127.015)| Slow 26015101 (Bid:127.004 | Ask: 127.011) | Delta: 0.0030000
15:34:05,017 | Pair:USDJPY | Spread:0.001 | Fast LMAX (Bid:127.007 | Ask: 127.018)| Slow 26015101 (Bid:127.004 | Ask: 127.011) | Delta: -0.0040000
15:34:09,801 | Pair:USDJPY | Spread:0.001 | Fast LMAX (Bid:127.005 | Ask: 127.006)| Slow 26015101 (Bid:127.01 | Ask: 127.017) | Delta: -0.0120000
15:34:09,923 | Pair:USDJPY | Spread:0.001 | Fast LMAX (Bid:127 | Ask: 127.013)| Slow 26015101 (Bid:127.01 | Ask: 127.017) | Delta: -0.0170000
15:34:09,940 | Pair:USDJPY | Spread:0.001 | Fast LMAX (Bid:127.005 | Ask: 127.008)| Slow 26015101 (Bid:127.01 | Ask: 127.017) | Delta: -0.0120000
15:34:10,474 | Pair:USDJPY | Spread:0.001 | Fast LMAX (Bid:127.006 | Ask: 127.008)| Slow 26015101 (Bid:127.004 | Ask: 127.011) | Delta: -0.0050000
15:34:11,504 | Pair:USDJPY | Spread:0.001 | Fast LMAX (Bid:127.013 | Ask: 127.014)| Slow 26015101 (Bid:127.004 | Ask: 127.011) | Delta: 0.0020000
15:34:11,551 | Pair:USDJPY | Spread:0.001 | Fast LMAX (Bid:127.011 | Ask: 127.022)| Slow 26015101 (Bid:127.004 | Ask: 127.011) | Delta: 0.0000000
15:34:18,848 | Pair:USDJPY | Spread:0.001 | Fast LMAX (Bid:127.007 | Ask: 127.008)| Slow 26015101 (Bid:127.01 | Ask: 127.018) | Delta: -0.0110000
15:34:18,974 | Pair:USDJPY | Spread:0.001 | Fast LMAX (Bid:127.007 | Ask: 127.008)| Slow 26015101 (Bid:127.007 | Ask: 127.011) | Delta: -0.0040000
15:34:19,943 | Pair:USDJPY | Spread:0.001 | Fast LMAX (Bid:127.005 | Ask: 127.006)| Slow 26015101 (Bid:127.007 | Ask: 127.011) | Delta: -0.0060000
15:34:20,054 | Pair:USDJPY | Spread:0.001 | Fast LMAX (Bid:126.998 | Ask: 127.009)| Slow 26015101 (Bid:127.007 | Ask: 127.011) | Delta: -0.0130000
15:34:28,069 | Pair:USDJPY | Spread:0.001 | Fast LMAX (Bid:126.999 | Ask: 127)| Slow 26015101 (Bid:127.002 | Ask: 127.008) | Delta: -0.0090000
15:34:28,184 | Pair:USDJPY | Spread:0.001 | Fast LMAX (Bid:126.994 | Ask: 127.006)| Slow 26015101 (Bid:127.002 | Ask: 127.008) | Delta: -0.0140000
15:34:33,240 | Pair:USDJPY | Spread:0.001 | Fast LMAX (Bid:126.997 | Ask: 126.998)| Slow 26015101 (Bid:127 | Ask: 127.005) | Delta: -0.0080000
15:34:33,304 | Pair:USDJPY | Spread:0.001 | Fast LMAX (Bid:126.992 | Ask: 127.004)| Slow 26015101 (Bid:127 | Ask: 127.005) | Delta: -0.0130000
15:34:33,381 | Pair:USDJPY | Spread:0.001 | Fast LMAX (Bid:126.997 | Ask: 126.999)| Slow 26015101 (Bid:127 | Ask: 127.005) | Delta: -0.0080000
15:34:33,619 | Pair:USDJPY | Spread:0.001 | Fast LMAX (Bid:126.993 | Ask: 127.004)| Slow 26015101 (Bid:127 | Ask: 127.005) | Delta: -0.0120000
15:34:33,715 | Pair:USDJPY | Spread:0.001 | Fast LMAX (Bid:126.998 | Ask: 126.999)| Slow 26015101 (Bid:127 | Ask: 127.005) | Delta: -0.0070000
